Conventional - Planned Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resource Installed Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Installed Capacity, CAISO Resources (MW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IID_Peaker,IID,,454.1,454.1,634.09996,634.09996,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,814.09992,693.09992
,,BANC_CCGT,BANC,,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999,1874.05999
,,BANC_Peaker,BANC,,865.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,890.6,865.6,865.6,865.6,865.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total Capacity, External Zones (MW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,Zone,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,Total,NW,,24196.887,24856.487,24856.487,24526.487,24856.487,24856.487,23601.487,22987.487,22987.487,23492.0871,22822.0871,22492.0871,22492.0871,22492.0871,22492.0871,22407.8871,22407.8871,22407.8871,22407.8871,22407.8871,22407.8871,22407.8871,22407.8871,22407.8871,22407.8871,22152.2471,22002.2471,22002.2471,22002.2471,22002.2471,22002.2471,22002.2471,22002.2471,22002.2471,21824.4471,19680.197
,,Total,SW,,39208.06906,40408.06908,40340.36909,40019.36909,40723.36909,40309.66909,40189.2691,39920.2691,40140.2691,41953.2691,41231.5691,40781.5191,40559.5191,40409.5191,40409.5191,40393.0491,40393.0491,40393.0491,40393.0491,40103.6491,39814.2491,39814.2491,39729.24911,39729.24911,39729.24911,39121.84911,39121.84911,39121.84911,39121.84911,38557.84911,38557.84911,38557.84911,38557.84911,38557.84911,38557.84911,35370.79911
,,Total,LDWP,,6427.49191,6951.79191,6951.79191,6951.79191,6951.79191,6951.79191,6919.09191,6919.09191,6919.09191,6475.09191,6475.09191,6475.09191,6475.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4675.09191,4127.69191
,,Total,IID,,709.4,709.4,889.39996,889.39996,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,1069.39992,948.39992
