Existing Renewable Resources,,,,,,,,,,,,,,,,,,,,,,,
,34.0,PG2029,Mt. Poso,MTNPOS_1_UNIT,PG&E,CA,Kern,Westlands,Biomass,Large,Existing,40960.0,46438.0,1.0,44.0,234.76554,0.609084527,CAISO,CAISO,CAISO,Biomass,Westlands,1.0
,35.0,PG2030,Shasta Renewable Resources (fka Anderson Biomass Plant and Kiara Biomass),SPIAND_1_ANDSN2,PG&E,CA,Shasta,Round Mountain - B,Biomass,Large,Existing,41255.0,42034.0,0.0,6.8,50.0,0.839376847,CAISO,CAISO,CAISO,Biomass,Northern_California,1.0
,36.0,PG2031,El Nido Biomass Facility,ELNIDP_6_BIOMAS,PG&E,CA,Merced,Los Banos,Biomass,Large,Existing,39865.0,47887.0,1.0,9.0,72.0,0.913242009,CAISO,CAISO,CAISO,Biomass,Central_Valley_North_Los_Banos,1.0
,37.0,PG2032,Chowchilla Biomass Facility,CHWCHL_1_BIOMAS,PG&E,CA,Madera,Westlands,Biomass,Large,Existing,39794.0,47887.0,1.0,9.0,72.0,0.913242009,CAISO,CAISO,CAISO,Biomass,Westlands,1.0
,38.0,PG2048,DTE Stockton,COGNAT_1_UNIT,PG&E,CA,San Joaquin,Solano,Biomass,Large,Existing,41691.0,50821.0,1.0,44.5,315.0,0.808065261,CAISO,CAISO,CAISO,Biomass,Solano,1.0
,39.0,PG2050,Ortigalita Power Company (Madera Project),,PG&E,CA,Merced,Los Banos,Biomass,Distributed,Existing,40711.0,46189.0,1.0,0.75,5.585,0.850076104,CAISO,CAISO,CAISO,Biomass,Central_Valley_North_Los_Banos,1.0
,40.0,PG2800,SPI Biomass Portfolio,SPIAND_1_ANDSN2,PG&E,CA,Multiple,NonCREZ,Biomass,Large,Existing,42255.0,49560.0,1.0,58.0,346.0,0.680995119,CAISO,CAISO,CAISO,Biomass,-,1.0
,41.0,PG30009,Amedee Geothermal Venture 1 PURPA,WINAMD_6_UNIT 1,PG&E,CA,Lassen,Lassen North,Geothermal,,Existing,41579.0,42674.0,1.0,0.69,3.5,0.579048375,CAISO,CAISO,CAISO,Geothermal,Northern_California,1.0
,42.0,PG3008,"Wendel Energy Operations 1, LLC",,PG&E,CA,Lassen,Lassen North,Geothermal,,Existing,31371.0,42035.0,1.0,0.7,3.137,0.511578604,CAISO,CAISO,CAISO,Geothermal,Northern_California,1.0
,43.0,PG3009,Geysers - 2010 - 50/250/425 MW,ADLIN_1_UNITS,PG&E,CA,Multiple,Sonoma County,Geothermal,,Existing,40360.0,44561.0,1.0,250.0,2080.0,0.949771689,CAISO,CAISO,CAISO,Geothermal,None,1.0
