Renewables - Planned Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Planned Resources, CAISO LSEs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO LSE RPS Requirement (GWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO RPS Requirement,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO LSE RPS Planned Resources by Technology (GWh),,State,Contract,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CA Hydro,,CA,CAISO,Hydro,,,3887.3701038529944,3993.669137668449,4060.364347668449,4059.864347668449,4061.7879476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493,4061.5179476684493
,,CA Solar PV,,CA,CAISO,Solar PV,,,8537.354142408012,11800.166552588005,19614.169338308027,20806.261251864027,23262.358017464023,25254.453284664025,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024,26080.206145464024
,,CA Solar Thermal,,CA,CAISO,Solar Thermal,,,2735.5950000000003,2735.5950000000003,2609.385,2683.165,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495,2751.495
,,CA Wind,,CA,CAISO,Wind,,,12045.605188147958,13114.934668147958,13320.967068147955,13640.916348147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955,14289.156692147955
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OOS Biogas,,OOS,CAISO,Biogas,,,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904,87.3904
,,OOS Biomass,,OOS,CAISO,Biomass,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,OOS Geothermal,,OOS,CAISO,Geothermal,,,546.576051,546.576051,546.576051,56.57605100000001,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051,450.776051
,,OOS Hydro,,OOS,CAISO,Hydro,,,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418,23.9418
,,OOS Solar PV,,OOS,CAISO,Solar PV,,,1475.9019047,1778.9019047,2645.5299047,2645.5299047,2645.5299047,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994,3549.4899046999994
