Load Shapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO TOU Impacts,High (MRW S4 x1.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forecasts by year (scalars for profiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Annual Net Energy for Loads by Region and Category (note: flexible part of the EV load is taken out and treated separately),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IID,Total,3719.0,3798.0,3841.0,3891.0,3967.0,4047.0,4128.0,4226.0,4319.0,4409.0,4502.0,4587.0,4674.0,4769.145266835345,4866.227337650401,4965.285638575133,5066.360398308966,5169.492664458116,5274.724320205491,5382.098101319918,5491.657613511635,5603.447350141057,5717.512710288035,5833.90001718894,5952.6565370490525,6073.830498237904,6197.471110875366,6323.62858681644,6452.354160042854,6583.700107469775,6717.719770176043,6854.467575066602,6993.999056975872,7136.370881221083,7281.6408666147,7429.868008945296
,,BANC,Total,18740.0,18746.02165547497,18773.783712617784,18768.11978227258,18889.34917668231,19014.854365916777,19123.083115467045,19254.59113045506,19431.439089539177,19592.921986378344,19772.728349924386,19943.28774819262,20112.890156638987,20289.087633177067,20466.828674588054,20646.126803157076,20826.995659630233,21009.44900425237,21193.500717813924,21379.164802706975,21566.455383990506,21755.38671046503,21945.973155756623,22138.22921941043,22332.16952799379,22527.808836208987,22725.16202801579,22924.244117763777,23125.070251334622,23327.65570729437,23532.0158980558,23738.166371050993,23946.12280991414,24155.901035674757,24367.517007961294,24580.986826215354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO,TOU Adjustment,0.0,0.0,0.0,0.9870289885449737,0.9879665515056295,0.9884664432637755,0.988783953226987,0.9930131747252846,0.9962749400642253,0.9977302303016679,1.0,1.001924360077622,1.0041116160020271,1.0065464072354018,1.0090542750454794,1.0116358186522616,1.0142916421892882,1.0170223547439294,1.0198285703980048,1.0227109082687387,1.0256699925500499,1.028706452554179,1.0318209227536586,1.0350140428236283,1.038286457684493,1.0416388175449363,1.0450717779452814,1.048585999801212,1.0521821494478476,1.0558608986841842,1.0596229248178963,1.0634689107105086,1.0673995448229348,1.0714155212613947,1.0755175398237036,1.0797063060459422
,,Note: BTM PV gets treated as a resource and goes into the model separately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Normalized Profiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fixed Load Profiles by Category (normalized so it can be multiplied by annual MWh),,,,,,,,,,,,,,,,2025 TOU Load Shape Modifier (MW),,,,,,,,4.0,,Month-hour shapes,,,,,,,,,,,
,,Day,Hour,Month,Timepoint id,"Baseline (no BTM PV, EE, EV, and TOU)",CAISO EVHome,CAISO EVHomeAndWork,BuildingElec,CAISO EE2015,CAISO EE2030,NW,SW,LDWP,IID,BANC,,day weight,Day,Hour,Month,None,Low (Christensen S3),Mid (MRW S4),High (MRW S4 x1.5),Active,,Month,Hour,EVHome,EVHomeAndWork,BuildingElec,EE2015,EE2030,,,,,
