Electric Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO Workplace Charger Availability,Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EV Charging Flexibility,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Metric,Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charging Efficiency,0.9219544457292888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030 EV Efficiency (kWh/mi),0.20161290322580647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030 Battery Size (kWh),30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030 VMT (mi/yr/vehicle),12798.6374236982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charger Size (kW),3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Minimum SOC,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Demand per Vehicle (MWh/yr/vehicle),2.58037044832625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV Charging Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,8.757949924453617e-06,0.9999777800027789,7.90715110037285e-06,0.9999783290590174,8.074430868324502e-06,0.0012788577222118081,7.290033110041987e-06,0.0012788584243922211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,5.633834279634713e-06,0.9998889540824588,5.086530444658953e-06,0.9998916980276199,5.1941385606112885e-06,0.0012787441239735218,4.689549356790697e-06,0.0012787476331669546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,6.1752886878001015e-06,0.9998410716211319,5.5753847834320524e-06,0.9998449987421426,5.693334859379089e-06,0.0012786828877574268,5.140250787736609e-06,0.0012786879100980537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,1.8805485790550126e-06,1.0,1.6978610170698281e-06,1.0,1.7337801228696658e-06,0.0012788861390582642,1.56535051291798e-06,0.0012788861390582642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,1.8522263717975127e-05,0.9857633143887498,2.0686487733876634e-05,0.9902929326097731,1.7076683379757473e-05,0.001260679039163906,1.9071999332771964e-05,0.0012664719051219985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.0,6.870785374545782e-05,0.9283790131959802,7.989229039432069e-05,0.9578772816077195,6.33455112171426e-05,0.0011872910517689284,7.365705230853931e-05,0.001225015978366922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7.0,0.00015311172236621523,0.7934620766023189,0.00016702691451047112,0.8952144032248542,0.00014116203312880072,0.0,0.0001539912063893747,0.001144877291769582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8.0,0.00023826770936223073,0.5245450275899781,0.00024106270429107116,0.7923903231325121,0.0002196719739202427,0.0,0.00022224883192067794,0.0010133770009780687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.0,0.00020534586861299366,0.25564653391396547,0.00020147921761891916,0.7404758309487257,0.00018931953647989192,0.0,0.00018575466040582136,0.0009469842765079757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.0,0.00013625948816081712,0.11663975755706682,0.0001346249389384649,0.7326381129711712,0.00012562504088266274,0.0,0.00012411806096035175,0.0009369607276246335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
