,Performance Inputs,,,Units,Active,User Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biogas - Distributed,,3.0,2013.0,,CAISO_CCGT1,Gas - CCGT
,,,Annual Escalation,%/yr,0.02,,,0.02,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,,,,,,,,Wind - Distributed,,,,,,
,,,Heat Rate,Btu/kWh,10000.0,,,10000.0,16391.0,14465.0,,,,,,,,,,,,,,,,,,,,,,,,7000.0,12000.0,9300.0,9300.0,,,,,,,,Battery - Li [Capacity],,,,,,
,Property Tax,,Property Tax,%,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,Battery - Li [Energy],,,,,,
,Periodic Replacement,,Term,yrs,0.0,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,Battery - Flow [Capacity],,,,,,
,,,Cost,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery - Flow [Energy],,,,,,
,Financing Selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pumped Storage [Capacity],,,,,,
,Financing Inputs,"Enable ITC/PTC (if not enabled, will expire early)",Financing Lifetime,yrs,20.0,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.0,20.0,20.0,20.0,25.0,25.0,20.0,20.0,20.0,20.0,,,,,,,,Pumped Storage [Energy],,,,,,
,,,Debt Period,yrs,18.0,,,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,20.0,20.0,18.0,18.0,18.0,18.0,,,,,,,,Gas - CCGT,,,,,,
,,,After-Tax WACC,%,0.07579999999999999,,,0.07579999999999999,0.07579999999999999,0.07579999999999999,0.07579999999999999,0.07579999999999999,0.07579999999999999,0.07579999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07709999999999999,0.07579999999999999,0.07579999999999999,0.07579999999999999,0.07579999999999999,0.07709999999999999,0.07709999999999999,0.07579999999999999,0.07579999999999999,0.07579999999999999,0.07579999999999999,,,,,,,,Gas - CT - Frame,,,,,,
,,,Debt Cost,%,0.0617,,,0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0617,0.0617,0.0617,0.0617,0.0641,0.0641,0.0617,0.0617,0.0617,0.0617,,,,,,,,Gas - CT - Aero,,,,,,
