Baseline Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: costs on this tab are not included in RESOLVE's optimization. They reflect additional electric sector costs that are additive to costs included in the RESOLVE objective function.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BTM PV,CEC 2016 IEPR - Mid PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Energy Efficiency,CEC 2016 IEPR - Mid AAEE + AB802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Existing DR,Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other,,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416,1652.8467490239416
,,Scenario-Specific Non-Modeled Costs ($MM),,1143.6481694497456,1436.8951888242707,1458.5765174229812,1546.6124956982208,1588.2908077300733,1647.6297148580743,1600.8762329125634,1641.8156289799072,1627.6097128609767,1621.339527482064,1625.9159965759022,1616.7990999345059,1652.4530807466108,1632.2165519617167,1632.2165519617167,1632.2165519617147,1632.2165519617188,1632.2165519617147,1632.2165519617145,1632.2165519617188,1632.2165519617188,1632.2165519617147,1632.2165519617147,1632.2165519617188,1632.2165519617186,1632.2165519617147,1632.2165519617147,1632.2165519617188,1632.2165519617188,1632.2165519617147,1632.2165519617147,1632.2165519617188,1632.2165519617188,1632.2165519617104,1632.2165519617188,1632.2165519617188
,,Distribution,,0.0,30.418663665404328,17.562867689109588,10.254975033671235,10.103630005176102,10.306994326695284,11.812919373047892,14.204655206444675,16.413997297017488,18.346209192736204,20.14700373202489,21.796933918978503,22.424117454152665,19.825652318981987,19.825652318981987,19.82565231898195,19.82565231898195,19.825652318982026,19.825652318981874,19.82565231898195,19.82565231898195,19.825652318982026,19.82565231898195,19.825652318982026,19.825652318981874,19.82565231898195,19.82565231898195,19.82565231898195,19.825652318982026,19.82565231898195,19.82565231898195,19.82565231898195,19.825652318982026,19.82565231898195,19.82565231898195,19.82565231898195
,,Transmission,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Generation,,85.63630017548316,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288
,,Demand Side Programs,,1058.0118692742624,1200.6940845160934,1235.2312090910987,1330.5750800217766,1372.4047370821243,1431.5402798886062,1383.2808728967427,1421.8285331306897,1405.4132749211865,1397.210877646555,1399.9865522011044,1389.2197253727545,1424.2465226496852,1406.6084589999618,1406.6084589999618,1406.6084589999598,1406.608458999964,1406.6084589999598,1406.6084589999598,1406.608458999964,1406.608458999964,1406.6084589999598,1406.6084589999598,1406.608458999964,1406.608458999964,1406.6084589999598,1406.6084589999598,1406.608458999964,1406.608458999964,1406.6084589999598,1406.6084589999598,1406.608458999964,1406.608458999964,1406.6084589999555,1406.608458999964,1406.608458999964
,,Other,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Scenario-Specific Customer Costs ($MM),,1634.3385947892132,2034.070064808989,2241.3513225281977,2409.857583301488,2545.5139992174722,2694.434972657901,2794.020572248434,2968.616205506753,3131.938470562744,3318.242837162358,3538.1546442138156,3777.194521197854,4085.853377574031,4327.038309349701,4575.568497340323,4821.19774937788,5051.066449779998,5280.935150182111,5510.803850584225,5740.672550986344,5970.5412513884585,6200.4099517905715,6430.278652192686,6660.147352594804,6890.016052996918,7119.88475339903,7349.753453801144,7579.622154203262,7809.490854605377,8039.359555007489,8269.228255409605,8499.096955811721,8728.965656213837,8958.834356615946,9188.703057018065,9418.57175742018
,,Customer PV,,1153.54435131052,1468.6114404324735,1655.3991540531565,1767.330530626155,1878.1661795518025,1991.997467061286,2120.219100992448,2271.9414295208453,2445.004135396527,2636.175617957003,2854.440402866728,3099.8690699751087,3387.743821610141,3639.39477913828,3887.9249671289017,4133.55421916646,4363.422919568575,4593.291619970691,4823.160320372805,5053.02902077492,5282.897721177035,5512.766421579151,5742.635121981266,5972.503822383381,6202.372522785495,6432.24122318761,6662.109923589724,6891.9786239918385,7121.847324393953,7351.716024796068,7581.584725198183,7811.453425600297,8041.322126002413,8271.190826404527,8501.05952680664,8730.928227208757
,,Energy Efficiency,,519.249981,603.9143618978222,624.4079059963478,680.9827901966397,705.8035571869763,740.893243117922,712.2572087772926,735.1305135072146,725.3900726875236,720.5229567266615,722.1699788683942,715.7811887440519,736.5652934851972,726.0992677327289,726.0992677327289,726.0992677327278,726.0992677327304,726.0992677327278,726.0992677327278,726.0992677327304,726.0992677327304,726.0992677327278,726.0992677327278,726.0992677327304,726.0992677327304,726.0992677327278,726.0992677327278,726.0992677327304,726.0992677327304,726.0992677327278,726.0992677327278,726.0992677327304,726.0992677327304,726.0992677327253,726.0992677327304,726.0992677327304
