"Levelized Cost Calculation - Biogas - Distributed, IPP Financing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Resource Cost, Performance, & Financing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Cost,,,Income Tax Assumptions,,,,,Periodic Replacement,,,,Outputs,,$/MWh,$/kW-yr,,check,= 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second,Debt %,Equity %,Equity Return,,Capital,Interconnection,Prop Tax/Ins,ITC,Fixed O&M,Per Repl,Var O&M,Fuel,Carbon,PTC,LCOE,DSCR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iteration,0.7999999999999999,0.20000000000000007,0.2298093999999999,,122.48223444320949,0.0,9.143379386294212,0.0,56.06291222729579,0.0,0.0,-49.99999999999999,0.0,-15.76800815618681,121.92051790061267,1.4035653874905631
,Cash Flow,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,,,,0.8099999999999999,0.19000000000000006,0.23994159736842094,,122.16469154196584,0.0,9.245900343279231,0.0,56.062912227295804,0.0,0.0,-50.000000000000014,0.0,-15.935563830419987,121.53794028212087,1.3814092725230127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.18000000000000005,0.25119959444444434,,121.81515502978951,0.0,9.354233954104224,0.0,56.06291222729577,0.0,0.0,-49.99999999999998,0.0,-16.108558969572023,121.12374224161752,1.3593993658946637
,Energy Production (MWh),,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,39420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.83,0.17000000000000004,0.26378206176470576,,121.43105235768596,0.0,9.46870471058901,0.0,56.06291222729579,0.0,0.0,-49.99999999999999,0.0,-16.286527157642492,120.67614213792825,1.3375084403654403
,Capacity (MW),,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.84,0.16000000000000003,0.2779373374999999,,121.01002192189648,0.0,9.589626298900026,0.0,56.0629122272958,0.0,0.0,-50.0,0.0,-16.46876383754171,120.19379661055056,1.315715898812754
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.15000000000000002,0.29397998333333325,,120.55017488736358,0.0,9.717290062541938,0.0,56.06291222729579,0.0,0.0,-49.99999999999999,0.0,-16.654263187795365,119.67611398940595,1.294011153340941
,Cost of Generation ($/MWh),,124.3589282586249,126.8461068237974,129.38302896027335,131.97068953947883,134.6101033302684,137.30230539687378,140.04835150481122,142.84931853490744,145.7063049056056,148.62043100371773,151.59283962379206,154.6246964162679,157.71719034459326,160.87153415148515,164.0889648345148,167.37074413120513,170.71815901382925,174.1325221941058,177.6151726379879,181.1674760907477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.86,0.14,0.31231443571428563,,120.05049427356343,0.0,9.851950503353523,0.0,56.0629122272958,0.0,0.0,-50.00000000000001,0.0,-16.84164512712492,119.12371187708784,1.2723984823196721
,Operating Revenue ,,4902228.951954993,5000273.530994093,5100279.0016139755,5202284.581646255,5306330.273279181,5412456.878744764,5520706.016319659,5631120.136646051,5743742.539378973,5858617.390166553,5975789.737969883,6095305.532729281,6217211.643383866,6341555.876251545,6468386.993776573,6597754.7336521065,6729709.828325149,6864304.02489165,7001590.105389483,7141621.907497275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.87,0.13,0.333469573076923,,119.51143510664885,0.0,9.993807881828724,0.0,56.06291222729581,0.0,0.0,-50.000000000000014,0.0,-17.02907517841693,118.53908003735641,1.2509039647406324
,Total Revenue,,4902228.951954993,5000273.530994093,5100279.0016139755,5202284.581646255,5306330.273279181,5412456.878744764,5520706.016319659,5631120.136646051,5743742.539378973,5858617.390166553,5975789.737969883,6095305.532729281,6217211.643383866,6341555.876251545,6468386.993776573,6597754.7336521065,6729709.828325149,6864304.02489165,7001590.105389483,7141621.907497275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.88,0.12,0.3581505666666666,,118.93581932431223,0.0,10.142988595682919,0.0,56.06291222729578,0.0,0.0,-49.99999999999999,0.0,-17.214184033197345,117.92753611409358,1.229585343348167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.10999999999999999,0.3873190136363636,,118.33016507130212,0.0,10.299525063781516,0.0,56.062912227295776,0.0,0.0,-49.99999999999999,0.0,-17.394000616593015,117.29860174578641,1.2085460513598818
,Fixed O&M Costs,,-2254200.0,-2299284.0,-2345269.6799999997,-2392175.0736,-2440018.575072,-2488818.94657344,-2538595.3255049083,-2589367.2320150067,-2641154.576655307,-2693977.668188413,-2747857.221552181,-2802814.365983225,-2858870.6533028893,-2916048.0663689473,-2974369.0276963254,-3033856.4082502527,-3094533.536415258,-3156424.207143563,-3219552.691286434,-3283943.745112163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9,0.09999999999999998,0.42232115000000003,,117.70666414284264,0.0,10.46333842905043,0.0,56.06291222729578,0.0,0.0,-49.99999999999999,0.0,-17.564923521000193,116.66799127818865,1.1879552619881224
,Periodic Replacement,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,Variable O&M Cost,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Third,Debt %,Equity %,Equity Return,,Capital,Interconnection,Prop Tax/Ins,ITC,Fixed O&M,Per Repl,Var O&M,Fuel,Carbon,PTC,LCOE,DSCR
,Fuel Costs,,2010420.0,2050628.4000000001,2091640.9679999999,2133473.78736,2176143.2631072,2219666.128369344,2264059.4509367305,2309340.639955465,2355527.452754575,2402638.0018096664,2450690.7618458592,2499704.577082777,2549698.668624432,2600692.641996921,2652706.494836859,2705760.6247335966,2759875.8372282684,2815073.3539728336,2871374.82105229,2928802.317473336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Iteration,0.7999999999999999,0.20000000000000007,0.2298093999999999,,122.48223444320949,0.0,9.143379386294212,0.0,56.06291222729579,0.0,0.0,-49.99999999999999,0.0,-15.76800815618681,121.92051790061267,1.4035653874905631
,CO2 Abatement Costs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8009999999999999,0.19900000000000007,0.2307767957286431,,122.45184511052663,0.0,9.153379234282651,0.0,56.06291222729581,0.0,0.0,-50.000000000000014,0.0,-15.784509695144664,121.88362687696042,1.4013423235829123
