RPS and GHG Assumptions - CAISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030 RPS,50% by 2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GHG Target,Very Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Banking,Specified Bank Redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Count Storage Losses as RPS Curtailment?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allow Hydro Spill?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Require Overbuild?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allow Scheduled Curtailment?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renewable Portfolio Standard Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grandfathered Existing Resources,,0.16,0.14,0.16,0.17,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
,,Adjusted Maximum Fraction,,0.41,0.39,0.41,0.42,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Green House Gas Goal Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Increase in carbon target per EV (tCO2/million EV),,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GHG Trajectory (tCO2/yr),,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,Very Large,,61410271,58958185,56506100,54054015,51601929,49149844,46697758,44245673,41793587,39341502,36889416,34437331,31985245,29533160,27081074,24300000,23804603,23309205,22813808,22318410,21823013,21327615,20832218,20336820,19841423,19346025,18850628,18355231,17859833,17364436,16869038,16373641,15878243,15382846,14887448,14392051
,,Large,,61410271,59584253,57758235,55932217,54106199,52280181,50454163,48628144,46802126,44976108,43150090,41324072,39498054,37672036,35846018,34020000,33326444,32632887,31939331,31245774,30552218,29858661,29165105,28471549,27777992,27084436,26390879,25697323,25003766,24310210,23616654,22923097,22229541,21535984,20842428,20148871
,,Medium,,61410271,60124253,58838235,57552217,56266199,54980181,53694163,52408144,51122126,49836108,48550090,47264072,45978054,44692036,43406018,42120000,41261311,40402622,39543933,38685244,37826555,36967867,36109178,35250489,34391800,33533111,32674422,31815733,30957044,30098355,29239666,28380977,27522288,26663600,25804911,24946222
,,Default,,61410271,60664253,59918235,59172217,58426199,57680181,56934163,56188144,55442126,54696108,53950090,53204072,52458054,51712036,50966018,50220000,49196179,48172357,47148536,46124714,45100893,44077072,43053250,42029429,41005607,39981786,38957965,37934143,36910322,35886500,34862679,33838858,32815036,31791215,30767393,29743572
,,Very Large - no EV,,61243628,58713259,56158863,53499055,50760189,48022099,45452201,42697833,39798525,36786830,33711578,30615399,27529296,24401339,21240828,17724975,16550140,15375306,14200471,13025636,11850801,10675966,9501132,8326297,7151462,5976627,4801793,3626958,2452123,1277288,102453,-1072381,-2247216,-3422051,-4596886,-5771720
,,Large - no EV,,61243628,59339327,57410998,55377258,53264459,51152436,49208605,47080305,44807064,42421436,39972252,37502140,35042105,32540215,30005771,27444975,26071981,24698988,23325994,21953000,20580006,19207013,17834019,16461025,15088031,13715038,12342044,10969050,9596056,8223062,6850069,5477075,4104081,2731087,1358094,-14900
,,Medium - no EV,,61243628,59879327,58490998,56997258,55424459,53852436,52448605,50860305,49127064,47281436,45372252,43442140,41522105,39560215,37565771,35544975,34006849,32468723,30930596,29392470,27854344,26316218,24778091,23239965,21701839,20163713,18625586,17087460,15549334,14011208,12473081,10934955,9396829,7858703,6320577,4782450
,,Default - no EV,,61243628,60419327,59570998,58617258,57584459,56552436,55688605,54640305,53447064,52141436,50772252,49382140,48002105,46580215,45125771,43644975,41941716,40238458,38535199,36831940,35128681,33425423,31722164,30018905,28315647,26612388,24909129,23205870,21502612,19799353,18096094,16392835,14689577,12986318,11283059,9579801
,,None,,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
,,Active: Very Large,,61410271,58958185,56506100,54054015,51601929,49149844,46697758,44245673,41793587,39341502,36889416,34437331,31985245,29533160,27081074,24300000,23804603,23309205,22813808,22318410,21823013,21327615,20832218,20336820,19841423,19346025,18850628,18355231,17859833,17364436,16869038,16373641,15878243,15382846,14887448,14392051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GHG Emission Targer Adder (tCO2/yr),,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207,2802207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Note: default, medium, large and very large represent the following four scenarios respectively",,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,
,,62 MtCO2 by 2030 Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52 MtCO2 by 2030 Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42 MtCO2 by 2030 Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30 MtCO2 by 2030 Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
