,,,,GENERATORS,,,,,,,,,,,,,,,,,,,,RENEWABLES,,,,,,,RENEWABLES - OUTUPT TABLE,,,,,,,,,,,,,,,,,,,,STORAGE,,,,,STORAGE - OUTPUT TABLE,,,,,,,,,,,,,,,,,,,,ANNUAL LOAD,,,,,,,,,,,DR 1-in-2 Load Impact (MW @ Transmission Level),,,
,,Index,Hydro/PS,Name,Area,RESOLVE Plant Type,Resource Begin Date,Resource End Date,Capacity,Must Run,Minimum Capacity,Heat Rate at Maximum,Heat Rate at Minimum,Ramp Rate Up,Ramp Rate down,Variable O&M,Forced Outage,Start Up Costs,Min Up Time,Min Down Time,Hourly Shaping Factor,Recharge Capacity,,BA,Tech,Vintage,Label,Capacity,,Index,Name,Area,Plant Type,Resource Begin Date,Resource End Date,Capacity,Must Run,Minimum Capacity,Heat Rate at Maximum,Heat Rate at Minimum,Ramp Rate Up,Ramp Rate down,Variable O&M,Forced Outage,Start Up Costs,Min Up Time,Min Down Time,Hourly Shaping Factor,Recharge Capacity,,Tech,Vintage,Capacity,,Index # of Relevant Entry,Name,Area,Plant Type,Resource Begin Date,Resource End Date,Capacity,Must Run,Minimum Capacity,Heat Rate at Maximum,Heat Rate at Minimum,Ramp Rate Up,Ramp Rate down,Variable O&M,Forced Outage,Start Up Costs,Min Up Time,Min Down Time,Hourly Shaping Factor,Recharge Capacity,,Year,Baseline Consumption,Electric Vehicles,Other Electrification,Behind-the-Meter PV,Other On-Site Self Generation,Energy Efficiency,TOU Effects,Losses,System Load,,Utilities,PG&E,SCE,SDGE
,20.0,54.0,1.0,BALCHS_7_UNIT 2,CAISO,CAISO_Hydro,21186.0,55153.0,52.5,,,,,,,,,,,,,,,CAISO,Biomass,2018.0,CAISO_Biomass_2018,0.0,,274.0,CAISO_Wind_2016,CAISO,Wind,42736.0,55153.0,293.7,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2018.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034.0,541.2,1019.4,56.46
,21.0,55.0,1.0,BALCHS_7_UNIT 3,CAISO,CAISO_Hydro,21186.0,55153.0,54.6,,,,,,,,,,,,,,,CAISO,Biomass,2019.0,CAISO_Biomass_2019,0.0,,275.0,CAISO_Wind_2017,CAISO,Wind,43101.0,55153.0,110.88,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2019.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035.0,541.2,1019.4,56.46
,22.0,56.0,1.0,BANGOR_6_HYDRO,CAISO,CAISO_Hydro,41074.0,55153.0,1.0,,,,,,,,,,,,,,,CAISO,Biomass,2020.0,CAISO_Biomass_2020,0.0,,277.0,CAISO_Wind_2019,CAISO,Wind,43831.0,55153.0,290.88,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2020.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2036.0,541.2,1019.4,56.46
,23.0,59.0,0.0,GOLETA_6_ELLWOD,CAISO,CAISO_Peaker2,27242.0,55153.0,54.0,0.0,16.2,15004.96748768473,18338.82266009853,77.14285714285714,77.14285714285714,5.0,,5896.276392857143,1.0,1.0,,,,CAISO,Biomass,2021.0,CAISO_Biomass_2021,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2021.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2037.0,541.2,1019.4,56.46
,24.0,60.0,0.0,BASICE_2_UNITS,CAISO,CAISO_CHP,32581.0,43830.0,65.0,1.0,83.76,7606.030358240106,7606.030358240106,0.0,0.0,5.0,,0.0,24.0,24.0,,,,CAISO,Biomass,2022.0,CAISO_Biomass_2022,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2022.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.0,541.2,1019.4,56.46
,25.0,61.0,0.0,HINSON_6_LBECH1,CAISO,CAISO_Peaker2,39295.0,55153.0,65.0,0.0,39.0,13082.857142857141,13602.761904761903,297.1428571428571,297.1428571428571,5.0,,2205.008,1.0,1.0,,,,CAISO,Biomass,2023.0,CAISO_Biomass_2023,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2023.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039.0,541.2,1019.4,56.46
,26.0,63.0,0.0,HINSON_6_LBECH2,CAISO,CAISO_Peaker2,39295.0,55153.0,65.0,0.0,39.0,13082.857142857141,13602.761904761903,297.1428571428571,297.1428571428571,5.0,,2205.008,1.0,1.0,,,,CAISO,Biomass,2024.0,CAISO_Biomass_2024,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2024.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.0,541.2,1019.4,56.46
,27.0,64.0,1.0,BELDEN_7_UNIT 1,CAISO,CAISO_Hydro,25204.0,55153.0,119.0,,,,,,,,,,,,,,,CAISO,Biomass,2025.0,CAISO_Biomass_2025,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2025.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041.0,541.2,1019.4,56.46
,28.0,65.0,1.0,BIGCRK_2_EXESWD,CAISO,CAISO_Hydro,4750.0,55153.0,820.0,,,,,,,,,,,,,,,CAISO,Biomass,2026.0,CAISO_Biomass_2026,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2026.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2042.0,541.2,1019.4,56.46
,29.0,66.0,1.0,BIGCRK_7_DAM7,CAISO,CAISO_Hydro,31413.0,55153.0,0.3,,,,,,,,,,,,,,,CAISO,Biomass,2027.0,CAISO_Biomass_2027,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2027.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043.0,541.2,1019.4,56.46
,30.0,67.0,1.0,BIGCRK_7_MAMRES,CAISO,CAISO_Hydro,0.0,55153.0,1.25,,,,,,,,,,,,,,,CAISO,Biomass,2028.0,CAISO_Biomass_2028,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2028.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2044.0,541.2,1019.4,56.46
,31.0,74.0,1.0,BLACK_7_UNIT 1,CAISO,CAISO_Hydro,24108.0,55153.0,85.0,,,,,,,,,,,,,,,CAISO,Biomass,2029.0,CAISO_Biomass_2029,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2029.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045.0,541.2,1019.4,56.46
,32.0,75.0,1.0,BLACK_7_UNIT 2,CAISO,CAISO_Hydro,23743.0,55153.0,84.1,,,,,,,,,,,,,,,CAISO,Biomass,2030.0,CAISO_Biomass_2030,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2030.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046.0,541.2,1019.4,56.46
,33.0,83.0,0.0,HINSON_6_LBECH3,CAISO,CAISO_Peaker2,39295.0,55153.0,65.0,0.0,39.0,13082.857142857141,13602.761904761903,297.1428571428571,297.1428571428571,5.0,,2205.008,1.0,1.0,,,,IID,Biomass,2015.0,IID_Biomass_Pre2016,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_Storage_Mandate,2015.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047.0,541.2,1019.4,56.46
,34.0,84.0,0.0,HINSON_6_LBECH4,CAISO,CAISO_Peaker2,39295.0,55153.0,65.0,0.0,39.0,13082.857142857141,13602.761904761903,297.1428571428571,297.1428571428571,5.0,,2205.008,1.0,1.0,,,,IID,Biomass,2016.0,IID_Biomass_2016,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_Storage_Mandate,2016.0,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048.0,541.2,1019.4,56.46
,35.0,85.0,1.0,BOWMN_6_UNIT,CAISO,CAISO_Hydro,31642.0,55153.0,6.25,,,,,,,,,,,,,,,IID,Biomass,2017.0,IID_Biomass_2017,0.0,,,,,,,,,,,,,,,,,,,,,,,CAISO_Storage_Mandate,2017.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049.0,541.2,1019.4,56.46
