plant,RESOLVE type,baseload_flag,minimum_input_mmbtu_per_hr,inc_heat_rate_mmbtu_mwh,min_stable_level,unit_size_mw,startup_cost_per_mw_committed,shutdown_cost_per_mw_committed,startup_plus_ramp_up_rate,shutdown_plus_ramp_down_rate,variable_cost_per_mwh,full_load_heat_rate,tech,nqc_fraction,fixed_cost,total_capacity,lca_zone,operational_type,capacity_type,onine_year,retirement_year,ramp_up_when_on_rate,ramp_down_when_on_rate
McGrath,CAISO_Peaker1,0,293.9279785,9.387230769,0.6,47.2,16.96159958,16.96159958,4.152542373,4.152542373,5,9.982179987,Peaker,1,6,47.2,Big_Creek_Ventura,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,4.152542373,4.152542373
McKittrick,CAISO_Peaker2,1,719.5530601,5.597,0.99,47.49,54.5951468,54.5951468,2.763385147,2.763385147,5,15.2076453,CHP,0.947567909,6,47.49,CAISO_System,must_run,existing_gen_no_economic_retirement,,,2.763385147,2.763385147
Metcalf,CAISO_CCGT1,0,2592.907532,6.206000577,0.597133492,593.16,48.76731368,48.76731368,0.62442776,0.625160227,5.7,6.871535677,CCGT,0.960954886,10,593.16,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.62442776,0.625160227
Midway,CAISO_Peaker2,0,407.7087479,6.261614286,0.45,59.955,16.96160229,16.96160229,3.433476395,3.433476395,5,10.24413384,Peaker,0.927028605,6,119.91,Fresno,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.433476395,3.433476395
MidwaySunset,CAISO_Peaker1,1,458.1713685,5.405208065,0.99,82.66666667,54.59515385,54.59515385,1.923076923,1.923076923,5,5.596447667,CHP,0.953225806,6,248,CAISO_System,must_run,existing_gen_no_economic_retirement,,,1.923076923,1.923076923
MiraLoma,CAISO_Peaker1,0,286.4544496,9.387230769,0.6,46,16.96160204,16.96160204,6.530612245,6.530612245,5,9.982162951,Peaker,1,6,46,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.530612245,6.530612245
MiramarAgg,CAISO_Peaker2,0,190.4285935,6.11704,0.3,36,5,5,4.276198067,4.276198067,5,9.571611152,Peaker,1,6,36,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,4.276198067,4.276198067
Miramar1,CAISO_Peaker1,0,230.0019792,8.661058614,0.45,48,54.59514989,54.59514989,1.970021413,1.970021413,5,9.555290138,Peaker,1,6,48,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.970021413,1.970021413
Miramar2,CAISO_Peaker1,0,331.2964309,4.555,0.45,47.9,54.59515152,54.59515152,3.232323232,3.232323232,5,9.421668182,Peaker,1,6,47.9,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.232323232,3.232323232
Mountainview3,CAISO_CCGT1,0,2015.181173,6.422877275,0.530013139,525,41.49188869,41.49188869,0.530013139,0.530013139,5.7,6.857108261,CCGT,0.922857143,10,525,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.405109489,0.405109489
Mountaiview4,CAISO_CCGT1,0,2392.483436,6.371404063,0.643336496,525,50.36335766,50.36335766,0.643336496,0.643336496,5.7,6.829558602,CCGT,0.922857143,10,525,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.405109489,0.405109489
Oakland,CAISO_Peaker2,0,260.3318742,11.20627586,0.3,55,15.90149664,15.90149664,1.476510067,1.476510067,5,12.57769991,Peaker,1,6,165,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.476510067,1.476510067
OrangeGrove,CAISO_Peaker2,0,570.236,7.831,0.45,48,54.59515,54.59515,6.4,6.4,5,16.18696667,Peaker,1,6,96,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.4,6.4
OtayMesa,CAISO_CCGT1,0,2411.488406,6.682858874,0.554224262,603.68,47.24891803,47.24891803,0.554224262,0.554224262,5.7,6.973703188,CCGT,0.999867479,10,603.68,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.552459016,0.551803279
Palomar,CAISO_CCGT1,0,2243.691958,6.169678754,0.530764769,575,44.33274021,44.33274021,0.530764769,0.530764769,5.7,6.797103608,CCGT,0.983669565,10,575,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.393238434,0.393950178
Panoche,CAISO_Peaker1,0,599.137256,6.173,0.45,100.25,54.59513889,54.59513889,3.703703704,3.703703704,5,9.371581481,Peaker,0.950024938,6,401,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.703703704,3.703703704
PanochePeaker,CAISO_Peaker2,0,259.9149439,9.370007067,0.45,49.97,16.96160204,16.96160204,3.265306122,3.265306122,5,10.35492362,Peaker,1,6,49.97,Fresno,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.265306122,3.265306122
Pastoria1,CAISO_CCGT1,0,1832.049433,6.206000655,0.631264033,399.735,45.35619543,45.35619543,0.852390852,0.851975052,5.7,6.871535578,CCGT,0.938121505,10,399.735,Big_Creek_Ventura,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.852390852,0.851975052
