resource,day,value
Inyokern_North_Kramer_Geothermal,37,0.8
LDWP_Coal,1,0.95
LDWP_Coal,2,0.95
LDWP_Coal,3,0.95
LDWP_Coal,4,0.95
LDWP_Coal,5,0.95
LDWP_Coal,6,0.5
LDWP_Coal,7,0.5
LDWP_Coal,8,0.5
LDWP_Coal,9,0.5
LDWP_Coal,10,0.5
LDWP_Coal,11,0.95
LDWP_Coal,12,0.95
LDWP_Coal,13,0.95
LDWP_Coal,14,0.95
LDWP_Coal,15,0.95
LDWP_Coal,16,0.95
LDWP_Coal,17,0.95
LDWP_Coal,18,0.95
LDWP_Coal,19,0.5
LDWP_Coal,20,0.5
LDWP_Coal,21,0.5
LDWP_Coal,22,0.95
LDWP_Coal,23,0.95
LDWP_Coal,24,0.95
LDWP_Coal,25,0.95
LDWP_Coal,26,0.95
LDWP_Coal,27,0.95
LDWP_Coal,28,0.95
LDWP_Coal,29,0.95
LDWP_Coal,30,0.5
LDWP_Coal,31,0.5
LDWP_Coal,32,0.5
LDWP_Coal,33,0.5
LDWP_Coal,34,0.5
LDWP_Coal,35,0.95
LDWP_Coal,36,0.95
LDWP_Coal,37,0.95
LDWP_Nuclear,1,1
LDWP_Nuclear,2,1
LDWP_Nuclear,3,1
LDWP_Nuclear,4,1
LDWP_Nuclear,5,1
LDWP_Nuclear,6,0.75
LDWP_Nuclear,7,0.75
LDWP_Nuclear,8,0.75
LDWP_Nuclear,9,0.75
LDWP_Nuclear,10,0.75
LDWP_Nuclear,11,1
LDWP_Nuclear,12,1
LDWP_Nuclear,13,1
LDWP_Nuclear,14,1
LDWP_Nuclear,15,0.75
LDWP_Nuclear,16,0.75
LDWP_Nuclear,17,1
LDWP_Nuclear,18,1
LDWP_Nuclear,19,0.75
LDWP_Nuclear,20,0.75
LDWP_Nuclear,21,0.75
LDWP_Nuclear,22,1
LDWP_Nuclear,23,1
LDWP_Nuclear,24,0.75
LDWP_Nuclear,25,1
LDWP_Nuclear,26,1
LDWP_Nuclear,27,1
LDWP_Nuclear,28,1
LDWP_Nuclear,29,1
LDWP_Nuclear,30,0.75
LDWP_Nuclear,31,0.75
LDWP_Nuclear,32,0.75
LDWP_Nuclear,33,0.75
LDWP_Nuclear,34,0.75
LDWP_Nuclear,35,1
LDWP_Nuclear,36,1
LDWP_Nuclear,37,0.75
Northern_California_Ex_Geothermal,1,0.81
Northern_California_Ex_Geothermal,2,0.81
Northern_California_Ex_Geothermal,3,0.81
Northern_California_Ex_Geothermal,4,0.81
Northern_California_Ex_Geothermal,5,0.81
Northern_California_Ex_Geothermal,6,0.81
Northern_California_Ex_Geothermal,7,0.81
Northern_California_Ex_Geothermal,8,0.81
Northern_California_Ex_Geothermal,9,0.81
Northern_California_Ex_Geothermal,10,0.81
Northern_California_Ex_Geothermal,11,0.81
Northern_California_Ex_Geothermal,12,0.81
Northern_California_Ex_Geothermal,13,0.81
Northern_California_Ex_Geothermal,14,0.81
Northern_California_Ex_Geothermal,15,0.81
Northern_California_Ex_Geothermal,16,0.81
Northern_California_Ex_Geothermal,17,0.81
Northern_California_Ex_Geothermal,18,0.81
Northern_California_Ex_Geothermal,19,0.81
Northern_California_Ex_Geothermal,20,0.81
Northern_California_Ex_Geothermal,21,0.81
Northern_California_Ex_Geothermal,22,0.81
Northern_California_Ex_Geothermal,23,0.81
Northern_California_Ex_Geothermal,24,0.81
Northern_California_Ex_Geothermal,25,0.81
Northern_California_Ex_Geothermal,26,0.81
Northern_California_Ex_Geothermal,27,0.81
Northern_California_Ex_Geothermal,28,0.81
Northern_California_Ex_Geothermal,29,0.81
Northern_California_Ex_Geothermal,30,0.81
Northern_California_Ex_Geothermal,31,0.81
