subproblem_id,balancing_type_horizon,horizon,boundary
162,day,20200610,circular
163,day,20200611,circular
164,day,20200612,circular
165,day,20200613,circular
166,day,20200614,circular
167,day,20200615,circular
168,day,20200616,circular
169,day,20200617,circular
170,day,20200618,circular
171,day,20200619,circular
172,day,20200620,circular
173,day,20200621,circular
174,day,20200622,circular
175,day,20200623,circular
176,day,20200624,circular
177,day,20200625,circular
178,day,20200626,circular
179,day,20200627,circular
180,day,20200628,circular
181,day,20200629,circular
182,day,20200630,circular
183,day,20200701,circular
184,day,20200702,circular
185,day,20200703,circular
186,day,20200704,circular
187,day,20200705,circular
188,day,20200706,circular
189,day,20200707,circular
190,day,20200708,circular
191,day,20200709,circular
192,day,20200710,circular
193,day,20200711,circular
194,day,20200712,circular
195,day,20200713,circular
196,day,20200714,circular
197,day,20200715,circular
198,day,20200716,circular
199,day,20200717,circular
200,day,20200718,circular
201,day,20200719,circular
202,day,20200720,circular
203,day,20200721,circular
204,day,20200722,circular
205,day,20200723,circular
206,day,20200724,circular
207,day,20200725,circular
208,day,20200726,circular
209,day,20200727,circular
210,day,20200728,circular
211,day,20200729,circular
212,day,20200730,circular
213,day,20200731,circular
214,day,20200801,circular
215,day,20200802,circular
216,day,20200803,circular
217,day,20200804,circular
218,day,20200805,circular
219,day,20200806,circular
220,day,20200807,circular
221,day,20200808,circular
222,day,20200809,circular
223,day,20200810,circular
224,day,20200811,circular
225,day,20200812,circular
226,day,20200813,circular
227,day,20200814,circular
228,day,20200815,circular
229,day,20200816,circular
230,day,20200817,circular
231,day,20200818,circular
232,day,20200819,circular
233,day,20200820,circular
234,day,20200821,circular
235,day,20200822,circular
236,day,20200823,circular
237,day,20200824,circular
238,day,20200825,circular
239,day,20200826,circular
240,day,20200827,circular
241,day,20200828,circular
242,day,20200829,circular
243,day,20200830,circular
244,day,20200831,circular
245,day,20200901,circular
246,day,20200902,circular
247,day,20200903,circular
248,day,20200904,circular
249,day,20200905,circular
250,day,20200906,circular
251,day,20200907,circular
252,day,20200908,circular
253,day,20200909,circular
254,day,20200910,circular
255,day,20200911,circular
256,day,20200912,circular
257,day,20200913,circular
258,day,20200914,circular
259,day,20200915,circular
260,day,20200916,circular
261,day,20200917,circular
262,day,20200918,circular
263,day,20200919,circular
264,day,20200920,circular
265,day,20200921,circular
266,day,20200922,circular
267,day,20200923,circular
268,day,20200924,circular
269,day,20200925,circular
270,day,20200926,circular
271,day,20200927,circular
272,day,20200928,circular
273,day,20200929,circular
274,day,20200930,circular
275,day,20201001,circular
276,day,20201002,circular
277,day,20201003,circular
278,day,20201004,circular
279,day,20201005,circular
280,day,20201006,circular
281,day,20201007,circular
282,day,20201008,circular
283,day,20201009,circular
284,day,20201010,circular
285,day,20201011,circular
286,day,20201012,circular
287,day,20201013,circular
288,day,20201014,circular
289,day,20201015,circular
290,day,20201016,circular
291,day,20201017,circular
292,day,20201018,circular
293,day,20201019,circular
294,day,20201020,circular
295,day,20201021,circular
296,day,20201022,circular
297,day,20201023,circular
298,day,20201024,circular
299,day,20201025,circular
300,day,20201026,circular
301,day,20201027,circular
302,day,20201028,circular
303,day,20201029,circular
304,day,20201030,circular
305,day,20201031,circular
306,day,20201101,circular
307,day,20201102,circular
308,day,20201103,circular
309,day,20201104,circular
310,day,20201105,circular
311,day,20201106,circular
312,day,20201107,circular
313,day,20201108,circular
314,day,20201109,circular
315,day,20201110,circular
316,day,20201111,circular
317,day,20201112,circular
318,day,20201113,circular
319,day,20201114,circular
320,day,20201115,circular
321,day,20201116,circular
322,day,20201117,circular
323,day,20201118,circular
324,day,20201119,circular
325,day,20201120,circular
326,day,20201121,circular
327,day,20201122,circular
328,day,20201123,circular
329,day,20201124,circular
330,day,20201125,circular
331,day,20201126,circular
332,day,20201127,circular
333,day,20201128,circular
334,day,20201129,circular
335,day,20201130,circular
336,day,20201201,circular
337,day,20201202,circular
338,day,20201203,circular
339,day,20201204,circular
340,day,20201205,circular
341,day,20201206,circular
342,day,20201207,circular
343,day,20201208,circular
344,day,20201209,circular
345,day,20201210,circular
346,day,20201211,circular
347,day,20201212,circular
348,day,20201213,circular
349,day,20201214,circular
350,day,20201215,circular
351,day,20201216,circular
352,day,20201217,circular
353,day,20201218,circular
354,day,20201219,circular
355,day,20201220,circular
356,day,20201221,circular
357,day,20201222,circular
358,day,20201223,circular
359,day,20201224,circular
360,day,20201225,circular
361,day,20201226,circular
362,day,20201227,circular
363,day,20201228,circular
364,day,20201229,circular
365,day,20201230,circular
366,day,20201231,circular
