subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day,timestamp,horizon_day
1,1,2020060107,2020,1,30,,,6,7,6/1/20 6:00,20200601
1,1,2020060108,2020,1,30,,,6,8,6/1/20 7:00,20200601
1,1,2020060109,2020,1,30,,,6,9,6/1/20 8:00,20200601
1,1,2020060110,2020,1,30,,,6,10,6/1/20 9:00,20200601
1,1,2020060111,2020,1,30,,,6,11,6/1/20 10:00,20200601
1,1,2020060112,2020,1,30,,,6,12,6/1/20 11:00,20200601
1,1,2020060113,2020,1,30,,,6,13,6/1/20 12:00,20200601
1,1,2020060114,2020,1,30,,,6,14,6/1/20 13:00,20200601
1,1,2020060115,2020,1,30,,,6,15,6/1/20 14:00,20200601
1,1,2020060116,2020,1,30,,,6,16,6/1/20 15:00,20200601
1,1,2020060117,2020,1,30,,,6,17,6/1/20 16:00,20200601
1,1,2020060118,2020,1,30,,,6,18,6/1/20 17:00,20200601
1,1,2020060119,2020,1,30,,,6,19,6/1/20 18:00,20200601
1,1,2020060120,2020,1,30,,,6,20,6/1/20 19:00,20200601
1,1,2020060121,2020,1,30,,,6,21,6/1/20 20:00,20200601
1,1,2020060122,2020,1,30,,,6,22,6/1/20 21:00,20200601
1,1,2020060123,2020,1,30,,,6,23,6/1/20 22:00,20200601
1,1,2020060124,2020,1,30,,,6,24,6/1/20 23:00,20200601
1,1,2020070101,2020,1,31,,,7,1,7/1/20 0:00,20200701
1,1,2020070102,2020,1,31,,,7,2,7/1/20 1:00,20200701
1,1,2020070103,2020,1,31,,,7,3,7/1/20 2:00,20200701
1,1,2020070104,2020,1,31,,,7,4,7/1/20 3:00,20200701
1,1,2020070105,2020,1,31,,,7,5,7/1/20 4:00,20200701
1,1,2020070106,2020,1,31,,,7,6,7/1/20 5:00,20200701
1,1,2020070107,2020,1,31,,,7,7,7/1/20 6:00,20200701
1,1,2020070108,2020,1,31,,,7,8,7/1/20 7:00,20200701
1,1,2020070109,2020,1,31,,,7,9,7/1/20 8:00,20200701
1,1,2020070110,2020,1,31,,,7,10,7/1/20 9:00,20200701
1,1,2020070111,2020,1,31,,,7,11,7/1/20 10:00,20200701
1,1,2020070112,2020,1,31,,,7,12,7/1/20 11:00,20200701
1,1,2020070113,2020,1,31,,,7,13,7/1/20 12:00,20200701
1,1,2020070114,2020,1,31,,,7,14,7/1/20 13:00,20200701
1,1,2020070115,2020,1,31,,,7,15,7/1/20 14:00,20200701
1,1,2020070116,2020,1,31,,,7,16,7/1/20 15:00,20200701
1,1,2020070117,2020,1,31,,,7,17,7/1/20 16:00,20200701
1,1,2020070118,2020,1,31,,,7,18,7/1/20 17:00,20200701
1,1,2020070119,2020,1,31,,,7,19,7/1/20 18:00,20200701
1,1,2020070120,2020,1,31,,,7,20,7/1/20 19:00,20200701
1,1,2020070121,2020,1,31,,,7,21,7/1/20 20:00,20200701
1,1,2020070122,2020,1,31,,,7,22,7/1/20 21:00,20200701
1,1,2020070123,2020,1,31,,,7,23,7/1/20 22:00,20200701
1,1,2020070124,2020,1,31,,,7,24,7/1/20 23:00,20200701
1,1,2020080101,2020,1,31,,,8,1,8/1/20 0:00,20200801
1,1,2020080102,2020,1,31,,,8,2,8/1/20 1:00,20200801
1,1,2020080103,2020,1,31,,,8,3,8/1/20 2:00,20200801
1,1,2020080104,2020,1,31,,,8,4,8/1/20 3:00,20200801
1,1,2020080105,2020,1,31,,,8,5,8/1/20 4:00,20200801
1,1,2020080106,2020,1,31,,,8,6,8/1/20 5:00,20200801
1,1,2020080107,2020,1,31,,,8,7,8/1/20 6:00,20200801
1,1,2020080108,2020,1,31,,,8,8,8/1/20 7:00,20200801
1,1,2020080109,2020,1,31,,,8,9,8/1/20 8:00,20200801
1,1,2020080110,2020,1,31,,,8,10,8/1/20 9:00,20200801
1,1,2020080111,2020,1,31,,,8,11,8/1/20 10:00,20200801
1,1,2020080112,2020,1,31,,,8,12,8/1/20 11:00,20200801
1,1,2020080113,2020,1,31,,,8,13,8/1/20 12:00,20200801
1,1,2020080114,2020,1,31,,,8,14,8/1/20 13:00,20200801
1,1,2020080115,2020,1,31,,,8,15,8/1/20 14:00,20200801
1,1,2020080116,2020,1,31,,,8,16,8/1/20 15:00,20200801
1,1,2020080117,2020,1,31,,,8,17,8/1/20 16:00,20200801
1,1,2020080118,2020,1,31,,,8,18,8/1/20 17:00,20200801
1,1,2020080119,2020,1,31,,,8,19,8/1/20 18:00,20200801
1,1,2020080120,2020,1,31,,,8,20,8/1/20 19:00,20200801
1,1,2020080121,2020,1,31,,,8,21,8/1/20 20:00,20200801
1,1,2020080122,2020,1,31,,,8,22,8/1/20 21:00,20200801
1,1,2020080123,2020,1,31,,,8,23,8/1/20 22:00,20200801
1,1,2020080124,2020,1,31,,,8,24,8/1/20 23:00,20200801
1,1,2020090101,2020,1,30,,,9,1,9/1/20 0:00,20200901
1,1,2020090102,2020,1,30,,,9,2,9/1/20 1:00,20200901
1,1,2020090103,2020,1,30,,,9,3,9/1/20 2:00,20200901
1,1,2020090104,2020,1,30,,,9,4,9/1/20 3:00,20200901
1,1,2020090105,2020,1,30,,,9,5,9/1/20 4:00,20200901
1,1,2020090106,2020,1,30,,,9,6,9/1/20 5:00,20200901
1,1,2020090107,2020,1,30,,,9,7,9/1/20 6:00,20200901
1,1,2020090108,2020,1,30,,,9,8,9/1/20 7:00,20200901
1,1,2020090109,2020,1,30,,,9,9,9/1/20 8:00,20200901
1,1,2020090110,2020,1,30,,,9,10,9/1/20 9:00,20200901
1,1,2020090111,2020,1,30,,,9,11,9/1/20 10:00,20200901
1,1,2020090112,2020,1,30,,,9,12,9/1/20 11:00,20200901
1,1,2020090113,2020,1,30,,,9,13,9/1/20 12:00,20200901
1,1,2020090114,2020,1,30,,,9,14,9/1/20 13:00,20200901
